0
winside INFO 2018-01-24 06:46:07,966 payer requestPay 73 Payer::requestPay(), serviceAuth result '<SOAPpy.Types.structType serviceAuthReturn at 140134817524984>: {'userIDType': '1', 'subscriptionExtend': '0', 'userID': 'iptv7759624747', 'purchaseType': '0', 'productName': None, 'changingPolicyDesc': None, 'expiredTime': None, 'result': '9303', 'transactionID': '201801240646079316011885762179', 'productID': 'productIDa3000000000000000216874'}'
winside INFO 2018-01-24 06:46:37,234 payer requestPay 73 Payer::requestPay(), serviceAuth result '<SOAPpy.Types.structType serviceAuthReturn at 140134817633848>: {'userIDType': '1', 'subscriptionExtend': '0', 'userID': 'iptv7711155280', 'purchaseType': '0', 'productName': None, 'changingPolicyDesc': None, 'expiredTime': None, 'result': '9303', 'transactionID': '201801240646371962491469030203', 'productID': 'productIDa3000000000000000216877'}'
winside INFO 2018-01-24 06:46:41,385 payer requestPay 73 Payer::requestPay(), serviceAuth result '<SOAPpy.Types.structType serviceAuthReturn at 140134817114880>: {'userIDType': '1', 'subscriptionExtend': '0', 'userID': 'iptv7711155280', 'purchaseType': '0', 'productName': None, 'changingPolicyDesc': None, 'expiredTime': None, 'result': '9303', 'transactionID': '201801240646413460696777406861', 'productID': 'productIDa3000000000000000216877'}'
winside INFO 2018-01-24 06:47:04,023 payer requestPay 73 Payer::requestPay(), serviceAuth result '<SOAPpy.Types.structType serviceAuthReturn at 140134816510320>: {'userIDType': '1', 'subscriptionExtend': '0', 'userID': 'iptv7750520777', 'purchaseType': '0', 'productName': None, 'changingPolicyDesc': None, 'expiredTime': None, 'result': '9303', 'transactionID': '201801240647039874153123807603', 'productID': 'productIDa3000000000000000216874'}'
winside INFO 2018-01-24 06:49:59,396 payer requestPay 73 Payer::requestPay(), serviceAuth result '<SOAPpy.Types.structType serviceAuthReturn at 140134816594616>: {'userIDType': '1', 'subscriptionExtend': '0', 'userID': 'iptv7711155280', 'purchaseType': '0', 'productName': None, 'changingPolicyDesc': None, 'expiredTime': None, 'result': '9303', 'transactionID': '201801240649593503091644325979', 'productID': 'productIDa3000000000000000216875'}'
winside INFO 2018-01-24 06:50:09,212 payer requestPay 73 Payer::requestPay(), serviceAuth result '<SOAPpy.Types.structType serviceAuthReturn at 140134816859488>: {'userIDType': '1', 'subscriptionExtend': '0', 'userID': 'iptv7711155280', 'purchaseType': '0', 'productName': None, 'changingPolicyDesc': None, 'expiredTime': None, 'result': '9303', 'transactionID': '201801240650091759263654913371', 'productID': 'productIDa3000000000000000216875'}'
winside INFO 2018-01-24 06:50:50,773 payer requestPay 73 Payer::requestPay(), serviceAuth result '<SOAPpy.Types.structType serviceAuthReturn at 140134817663024>: {'userIDType': '1', 'subscriptionExtend': '0', 'userID': 'iptv7709533229', 'purchaseType': '0', 'productName': None, 'changingPolicyDesc': None, 'expiredTime': None, 'result': '9303', 'transactionID': '201801240650507353829771831325', 'productID': 'productIDa3000000000000000216874'}'
winside INFO 2018-01-24 06:51:19,184 payer requestPay 73 Payer::requestPay(), serviceAuth result '<SOAPpy.Types.structType serviceAuthReturn at 140134816615024>: {'userIDType': '1', 'subscriptionExtend': '0', 'userID': 'iptv77510793981', 'purchaseType': '0', 'productName': None, 'changingPolicyDesc': None, 'expiredTime': None, 'result': '9303', 'transactionID': '201801240651191488001338786821', 'productID': 'productIDa3000000000000000216877'}'
winside INFO 2018-01-24 06:51:44,014 payer requestPay 73 Payer::requestPay(), serviceAuth result '<SOAPpy.Types.structType serviceAuthReturn at 140134816861360>: {'userIDType': '1', 'subscriptionExtend': '0', 'userID': 'iptv7770004682', 'purchaseType': '0', 'productName': None, 'changingPolicyDesc': None, 'expiredTime': None, 'result': '9303', 'transactionID': '201801240651439792445360789618', 'productID': 'productIDa3000000000000000216875'}'
winside INFO 2018-01-24 06:52:00,645 payer requestPay 73 Payer::requestPay(), serviceAuth result '<SOAPpy.Types.structType serviceAuthReturn at 140134817388016>: {'userIDType': '1', 'subscriptionExtend': '0', 'userID': 'iptv77510793981', 'purchaseType': '0', 'productName': None, 'changingPolicyDesc': None, 'expiredTime': None, 'result': '9303', 'transactionID': '201801240652006080256330702272', 'productID': 'productIDa3000000000000000216877'}'
